	strain	fasta_depth	log_fasta_depth	taxa_hits	tp	fp	aligner	hit_rate	precision	recall
80	saureus	26378	4	22741.0	22741.0	0.0	utree	0.8621199484418833	1.0	0.8621199484418833
81	ecoli	9206	3	8813.0	8725.0	88.0	utree	0.957310449706713	0.9900147509361171	0.9477514664349337
82	saureus	26621	4	22962.0	22962.0	0.0	utree	0.8625521205063672	1.0	0.8625521205063672
83	ecoli	923	2	872.0	872.0	0.0	utree	0.9447453954496208	1.0	0.9447453954496208
84	ecoli	9111	3	8672.0	8560.0	112.0	utree	0.9518164855668971	0.9870848708487084	0.9395236527274723
85	kpneumoniae	315865	5	134253.0	107250.0	27003.0	utree	0.425032846310924	0.7988648298362048	0.33954379244297406
86	ecoli	909	2	849.0	849.0	0.0	utree	0.933993399339934	1.0	0.933993399339934
87	ecoli	9158	3	8773.0	8665.0	108.0	utree	0.9579602533304215	0.9876895018807705	0.9461672854335008
88	kpneumoniae	3160251	6	1347328.0	1075211.0	272117.0	utree	0.4263357562421466	0.7980321050256508	0.34022962100162296
89	kpneumoniae	3043	3	1144.0	1049.0	95.0	utree	0.375944791324351	0.916958041958042	0.34472559973710154
90	ecoli	91786	4	87751.0	86764.0	987.0	utree	0.9560390473492689	0.9887522649314537	0.945285773429499
91	saureus	269	2	235.0	235.0	0.0	utree	0.8736059479553904	1.0	0.8736059479553904
92	saureus	2551	3	2212.0	2212.0	0.0	utree	0.8671109368874951	1.0	0.8671109368874951
93	kpneumoniae	315435	5	134054.0	107019.0	27035.0	utree	0.4249813749266885	0.7983275396482015	0.3392743354415331
94	saureus	2655	3	2324.0	2324.0	0.0	utree	0.8753295668549906	1.0	0.8753295668549906
95	ecoli	899	2	871.0	855.0	16.0	utree	0.9688542825361512	0.981630309988519	0.9510567296996663
96	kpneumoniae	31613	4	13354.0	10659.0	2695.0	utree	0.4224211558536045	0.7981878088962109	0.3371714168221934
97	saureus	266053	5	229859.0	229859.0	0.0	utree	0.8639594366535991	1.0	0.8639594366535991
98	saureus	265094	5	228853.0	228853.0	0.0	utree	0.8632900027914626	1.0	0.8632900027914626
99	ecoli	76	1	74.0	74.0	0.0	utree	0.9736842105263158	1.0	0.9736842105263158
100	ecoli	86	1	78.0	78.0	0.0	utree	0.9069767441860465	1.0	0.9069767441860465
101	saureus	266112	5	229975.0	229975.0	0.0	utree	0.8642037938912939	1.0	0.8642037938912939
102	saureus	26760	4	23032.0	23032.0	0.0	utree	0.8606875934230195	1.0	0.8606875934230195
103	saureus	2656	3	2323.0	2323.0	0.0	utree	0.8746234939759037	1.0	0.8746234939759037
104	kpneumoniae	31410	4	13641.0	10841.0	2800.0	utree	0.43428844317096466	0.7947364562715343	0.34514485832537406
105	kpneumoniae	327	2	112.0	112.0	0.0	utree	0.3425076452599388	1.0	0.3425076452599388
106	ecoli	92073	4	88251.0	87204.0	1047.0	utree	0.9584894594506533	0.9881361117721046	0.9471180476361148
107	kpneumoniae	3187	3	1227.0	1150.0	77.0	utree	0.3850015688735488	0.9372453137734311	0.3608409162221525
108	ecoli	951	2	903.0	903.0	0.0	utree	0.9495268138801262	1.0	0.9495268138801262
109	saureus	250	2	214.0	214.0	0.0	utree	0.856	1.0	0.856
110	kpneumoniae	303	2	106.0	106.0	0.0	utree	0.34983498349834985	1.0	0.34983498349834985
111	ecoli	918660	5	879573.0	869406.0	10167.0	utree	0.9574521585787995	0.9884409821583883	0.9463849519952975
112	kpneumoniae	31553	4	13545.0	10971.0	2574.0	utree	0.42927772319589264	0.8099667774086379	0.3477006940702944
113	saureus	266266	5	230128.0	230128.0	0.0	utree	0.8642785785642928	1.0	0.8642785785642928
114	saureus	26555	4	22967.0	22967.0	0.0	utree	0.8648842025983807	1.0	0.8648842025983807
115	ecoli	84	1	83.0	83.0	0.0	utree	0.9880952380952381	1.0	0.9880952380952381
116	saureus	301	2	269.0	269.0	0.0	utree	0.893687707641196	1.0	0.893687707641196
117	kpneumoniae	31846	4	13622.0	10837.0	2785.0	utree	0.4277460277585882	0.7955513140508002	0.3402939144633549
118	kpneumoniae	312	2	106.0	106.0	0.0	utree	0.33974358974358976	1.0	0.33974358974358976
119	kpneumoniae	329	2	114.0	114.0	0.0	utree	0.3465045592705167	1.0	0.3465045592705167
120	ecoli	952	2	897.0	897.0	0.0	utree	0.9422268907563025	1.0	0.9422268907563025
121	saureus	271	2	233.0	233.0	0.0	utree	0.8597785977859779	1.0	0.8597785977859779
122	ecoli	91939	4	88063.0	87034.0	1029.0	utree	0.9578416123734215	0.9883151834482132	0.9466494088471704
123	kpneumoniae	315975	5	134944.0	107446.0	27498.0	utree	0.42707176200648783	0.7962265828788239	0.3400458897064641
124	saureus	2659611	6	2298603.0	2298603.0	0.0	utree	0.8642628564854034	1.0	0.8642628564854034
125	saureus	2576	3	2268.0	2268.0	0.0	utree	0.8804347826086957	1.0	0.8804347826086957
126	kpneumoniae	316642	5	65892.0	49198.0	16694.0	burst-capitalist	0.2080962095994846	0.7466460268317854	0.1553742080962096
127	ecoli	91	1	88.0	88.0	0.0	burst-capitalist	0.967032967032967	1.0	0.967032967032967
128	kpneumoniae	3199	3	662.0	542.0	120.0	burst-capitalist	0.20693966864645202	0.8187311178247734	0.16942794623319787
129	ecoli	105	2	105.0	105.0	0.0	burst-capitalist	1.0	1.0	1.0
130	saureus	265531	5	186284.0	181230.0	5054.0	burst-capitalist	0.7015527377217726	0.9728693822335789	0.6825191785516569
131	kpneumoniae	3102	3	591.0	496.0	95.0	burst-capitalist	0.19052224371373308	0.8392554991539763	0.15989684074790458
132	ecoli	9109	3	8947.0	8880.0	67.0	burst-capitalist	0.9822153913711714	0.9925114563540852	0.9748600285431991
133	kpneumoniae	315638	5	65809.0	49356.0	16453.0	burst-capitalist	0.20849517485220412	0.749988603382516	0.15636900499939804
134	ecoli	91918	4	90392.0	89707.0	685.0	burst-capitalist	0.9833982462629736	0.9924218957429861	0.9759459518266281
135	ecoli	91859	4	90264.0	89551.0	713.0	burst-capitalist	0.9826364319228382	0.992100948329345	0.9748745359736117
136	kpneumoniae	316	2	56.0	56.0	0.0	burst-capitalist	0.17721518987341772	1.0	0.17721518987341772
137	ecoli	9241	3	9090.0	9014.0	76.0	burst-capitalist	0.9836597770804025	0.9916391639163916	0.9754355589221946
138	saureus	282	2	178.0	178.0	0.0	burst-capitalist	0.6312056737588653	1.0	0.6312056737588653
139	kpneumoniae	31771	4	6498.0	4904.0	1594.0	burst-capitalist	0.20452614019073997	0.7546937519236688	0.15435460010701582
140	saureus	26657	4	18287.0	18248.0	39.0	burst-capitalist	0.6860111790524065	0.9978673374528354	0.6845481487039051
141	saureus	2651	3	1798.0	1792.0	6.0	burst-capitalist	0.6782346284420974	0.996662958843159	0.6759713315729913
142	kpneumoniae	3138	3	523.0	523.0	0.0	burst-capitalist	0.16666666666666666	1.0	0.16666666666666666
143	saureus	26378	4	18359.0	17970.0	389.0	burst-capitalist	0.6959966638865721	0.9788114821068685	0.6812495261202517
144	ecoli	9206	3	9050.0	8985.0	65.0	burst-capitalist	0.9830545296545731	0.992817679558011	0.9759939170106452
145	saureus	26621	4	18073.0	18028.0	45.0	burst-capitalist	0.6789001164494196	0.9975100979361479	0.6772097216483227
146	ecoli	923	2	902.0	902.0	0.0	burst-capitalist	0.9772481040086674	1.0	0.9772481040086674
147	ecoli	9111	3	8934.0	8865.0	69.0	burst-capitalist	0.9805729338162661	0.9922766957689725	0.9729996707276918
148	kpneumoniae	315865	5	66036.0	49469.0	16567.0	burst-capitalist	0.20906399886027258	0.7491216911987401	0.15661437639497885
149	ecoli	909	2	887.0	887.0	0.0	burst-capitalist	0.9757975797579758	1.0	0.9757975797579758
150	ecoli	9158	3	9010.0	8926.0	84.0	burst-capitalist	0.9838392662153309	0.9906770255271921	0.9746669578510592
151	kpneumoniae	3160251	6	661053.0	494074.0	166979.0	burst-capitalist	0.20917737230365563	0.7474045197586275	0.15634011349098537
152	kpneumoniae	3043	3	575.0	480.0	95.0	burst-capitalist	0.18895826487019388	0.8347826086956521	0.15773907328294445
153	ecoli	91786	4	90207.0	89516.0	691.0	burst-capitalist	0.9827969407099122	0.9923398405888678	0.9752685594753012
154	saureus	269	2	181.0	181.0	0.0	burst-capitalist	0.6728624535315985	1.0	0.6728624535315985
